,Product Name,Price,Body Material,Top,Neck,Pickups,Frets,Fingerboard
54,Yin Yang Standard Mahogany - DEPOSIT,"1,000.00",ChamberedMahogany Body,MahoganyTopBlack Painted Yin Yang,3-PieceMaple Neck Ebony Fingerboard,EMG P/J Pickups ,24,
55,Yin Yang Standard Mahogany - DEPOSIT,"1,000.00",ChamberedMahogany Body,MahoganyTopBlack Painted Yin Yang,3-PieceMaple Neck Ebony Fingerboard,EMG P/J Pickups ,24,
56,"Ryan Martinie ""Blondie"" Standard - DEPOSIT","1,000.00",Korina Body,Curly MapleTop  Trans Amber Zig Zag,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
57,"Ryan Martinie ""Blondie"" Standard - DEPOSIT","1,000.00",Korina Body,Curly MapleTop  Trans Amber Zig Zag,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
58,Monarch 5 Standard - DEPOSIT,"1,000.00",Walnut Body,Ivorywood Top,Ebony ,Nordstrand Big BladeMan 5 ,24,
59,Monarch 5 Standard - DEPOSIT,"1,000.00",Walnut Body,Ivorywood Top,Ebony ,Nordstrand Big BladeMan 5 ,24,
60,Monarch Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
61,Monarch Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
62,Monarch 4 P Standard Classic - DEPOSIT,"1,000.00",Alder ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Nordstrand NP4V Vintage Pickup,22, Rosewood 
63,Monarch 4 P Standard Classic - DEPOSIT,"1,000.00",Alder ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Nordstrand NP4V Vintage Pickup,22, Rosewood 
64,Monarch P Standard - DEPOSIT,"1,000.00",Alder Body,Ivorywood Top,3-Piece Hard Rock Maple Neck  Indian Rosewood Fingerboard,Nordstrand-NP4V Vintage Pickup,22,
65,Monarch P Standard - DEPOSIT,"1,000.00",Alder Body,Ivorywood Top,3-Piece Hard Rock Maple Neck  Indian Rosewood Fingerboard,Nordstrand-NP4V Vintage Pickup,22,
66,Monarch 4 Standard Fretless - DEPOSIT,"1,000.00",Semi-Hollow Walnut Body,Figured Walnut Top,3-PieceWhite Oak Neck / Ebony Fingerboard ( Fret Lines),Fodera / Duncan Dual Coil Pickups,24,
67,Monarch 4 Standard Fretless - DEPOSIT,"1,000.00",Semi-Hollow Walnut Body,Figured Walnut Top,3-PieceWhite Oak Neck / Ebony Fingerboard ( Fret Lines),Fodera / Duncan Dual Coil Pickups,24,
68,Emperor 5 Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
69,Emperor 5 Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
70,The Joey Standard Special Emperor 5 Classic - DEPOSIT,"1,000.00",Ash Body,,3-Piece Maple Neck  Birdseye Maple Fingerboard,,22,
71,The Joey Standard Special Emperor 5 Classic - DEPOSIT,"1,000.00",Ash Body,,3-Piece Maple Neck  Birdseye Maple Fingerboard,,22,
