,0
Manico Acero Marezzato Roasted 4 – 5 corde,€ 65.00
Manico Acero Marezzato EX 4 – 5 corde,€ 45.00
Manico Sassofrasso 4 – 5 corde,€ 24.00
Manico Padouk 4 – 5 corde,€ 30.00
Manico Acero Marezzato A 4 – 5 corde,€ 30.00
Manico Wenge’ 4 – 5 corde,€ 48.00
Manico Acero 4 – 5 corde,€ 19.50
Manico Hard Maple 4 – 5 corde,€ 18.00
Manico Mogano Sipo 4 – 5 corde,€ 24.00
Manico White Limba 4 – 5 corde,€ 20.00
Manico Amaranto 4 – 5 corde,€ 30.00
